LegacyKey,MainIcon,Modifier1,Modifier2,ExtraIcon,FullFrame,Standard
G-G-GPCC--,25216300,,,,,C
G-G-GPCE--,25216200,,,,,C
G-G-GPCM--,25215800,,,,,C
G-G-GPCN--,25215900,,,,,C
G-G-GPCP--,25216000,,,,,C
G-G-GPCR--,25216100,,,,,C
G-G-GPCS--,25216400,,,,,C
G-G-GPCU--,25216500,,,,,C
G-G-GPCUA-,25216600,,,,,C
G-G-GPCUM-,25216700,,,,,C
G-G-GPCUR-,25216800,,,,,C
G-G-GPCUS-,25216900,,,,,C
G-G-GPF---,25212700,,,,,
G-G-GPH---,25212800,,,,,
G-G-GPHA--,25212901,,,,,
G-G-GPHQ--,25212902,,,,,
G-G-GPHX--,25212903,,,,,
G-G-GPHY--,25212904,,,,,
G-G-GPO---,25217100,,,,,
G-G-GPOD--,25217200,,,,,
G-G-GPOP--,G-G-GPOP--,,,,TRUE,
G-G-GPOR--,25217300,,,,,
G-G-GPOW--,25217700,,,,,
G-G-GPOZ--,25217600,,,,,
G-G-GPP---,25130100,,,,,
G-G-GPPA--,25130200,,,,,
G-G-GPPC--,25130500,,,,,
G-G-GPPD--,25130700,,,,,
G-G-GPPE--,25131500,,,,,
G-G-GPPK--,25130300,,,,,
G-G-GPPL--,25131100,,,,,
G-G-GPPO--,25130600,,,,,
G-G-GPPP--,25131200,,,,,
G-G-GPPR--,25131400,,,,,
G-G-GPPS--,25131600,,,,,
G-G-GPPW--,G-G-GPPW--,,,,TRUE,
G-G-GPR---,25213600,,,,,
G-G-GPRC--,25214200,,,,,C
G-G-GPRD--,G-G-GPRD--,,,,TRUE,C
G-G-GPRD--,G-G-GPRD--_B,,,,TRUE,B2
G-G-GPRI--,25131300,,,,,
G-G-GPRM--,G-G-GPRM--,,,,TRUE,C
G-G-GPRN--,G-G-GPRN--,,,,TRUE,
G-G-GPRP--,25214500,,,,,C
G-G-GPRS--,25213700,,,,,
G-G-GPRW--,25214800,,,,,C
G-G-GPUS--,25213100,,,,,
G-G-GPUSA-,25213200,,,,,
G-G-GPUSC-,25213300,,,,,
G-G-GPUSD-,25213000,,,,,
G-G-GPUUB-,25211400,,,,,
G-G-GPUUD-,25211500,,,,,
G-G-GPUUL-,25212000,,,,,
G-G-GPUUS-,25212100,,,,,
G-G-GPUY--,25213500,,,,,
G-G-GPUYA-,25213501,,,,,
G-G-GPUYB-,25213504,,,,,
G-G-GPUYC-,25213506,,,,,
G-G-GPUYD-,25213507,,,,,
G-G-GPUYK-,25213511,,,,,
G-G-GPUYL-,25213512,,,,,
G-G-GPUYP-,25213513,,,,,
G-G-GPUYR-,25213514,,,,,
G-G-GPUYS-,25213508,,,,,
G-G-GPUYT-,25213502,,,,,
G-G-GPUYV-,25213515,,,,,
G-G-GPUYX-,25213510,,,,,C
G-G-GPWA--,25210200,,,,,
G-G-GPWD--,25210400,,,,,
G-G-GPWE--,25210500,,,,,
G-G-GPWG--,25210700,,,,TRUE,
G-G-GPWI--,25210800,,,,,
G-G-GPWM--,25211100,,,,,
G-G-GPWP--,25210900,,,,,
G-G-OAA---,25151500,,,,,
G-G-OAF---,25152000,,,,,
G-G-OAK---,25151600,,,,,
G-G-OAO---,25151700,,,,,
G-G-OAP---,25151900,,,,,
G-G-OAS---,25152100,,,,,
G-G-OLAA--,25151401,,,,,
G-G-OLAGM-,25151403,,,,,
G-G-OLAGS-,25151404,,,,,
G-G-OLAR--,25151402,,,,,
G-G-OLAV--,25151401,,,,,
G-G-OLC---,25141100,,,,,
G-G-OLF---,25140700,,,,,
G-G-OLI---,25140800,,,,,
G-G-OLKA--,25140601,,,,,
G-G-OLKGM-,25140602,,,,,
G-G-OLKGS-,25140603,,,,,
G-G-OLL---,25140900,,,,,
G-G-OLP---,25141200,,,,,
G-G-OLT---,25141000,,,,,
G-G-OPP---,25160400,,,,,
G-G-PA----,25151406,,,,,
G-G-PC----,25270706,,,,,
G-G-PD----,25230100,,,,,
G-G-PF----,25140605,,,,,
G-G-PM----,25270900,,,,,
G-G-PN----,G-G-PN----,,,,TRUE,
G-G-PY----,25270901,,,,,
G-G-SAA---,25141300,,,,,
G-G-SAE---,25151801,,,,,
G-G-SAN---,25120200,,,,,
G-G-SAO---,25120100,,,,,
G-G-SAT---,25120300,,,,,
G-G-SLA---,25141700,,,,,
G-G-SLB---,25141400,,,,,
G-G-SLH---,25141500,,,,,
G-G-SLR---,25141600,,,,,
G-M-BCA---,25271300,,,,,
G-M-BCB---,25271400,,,,,
G-M-BCD---,25271600,,,,,
G-M-BCE---,25271500,,,,,
G-M-BCF---,25290700,,,,,
G-M-BCL---,25290600,,,,,
G-M-BCP---,25280800,,,,,
G-M-BCR---,25290800,,,,,
G-M-BDD---,25270602,,,,,
G-M-BDE---,25270601,,,,,
G-M-BDI---,25270603,,,,,
G-M-NB----,G-M-NB----,,,,TRUE,
G-M-NC----,G-M-NC----,,,,TRUE,
G-M-NDA---,25281801,,,,,
G-M-NDB---,25281804,,,,,
G-M-NDD---,25281806,,,,,
G-M-NDE---,25281802,,,,,
G-M-NDO---,25281805,,,,,
G-M-NDP---,25281800,,,,,
G-M-NDT---,25281803,,,,,
G-M-NEB---,G-M-NEB---,,,,TRUE,
G-M-NEC---,G-M-NEC---,,,,TRUE,
G-M-NF----,G-M-NF----,,,,TRUE,
G-M-NL----,25272200,,,,,
G-M-NM----,25272100,,,,TRUE,
G-M-NR----,G-M-NR----,,,,TRUE,
G-M-NZ----,G-M-NZ----,,,,TRUE,
G-M-OADC--,25290202,,,,,
G-M-OADU--,25290201,,,,,
G-M-OAOF--,25281901,,,,,
G-M-OAOM--,25281902,,,,,
G-M-OAOP--,25281903,,,,,
G-M-OAR---,25290203,,,,,
G-M-OAW---,25290204,,,,,
G-M-OB----,25280700,,,,,
G-M-OEB---,25270501,,,,,
G-M-OED---,25270502,,,,,
G-M-OEF---,25270503,,,,,
G-M-OET---,25270504,,,,,
G-M-OFA---,25270800,,,,,
G-M-OFD---,25270707,,,,,
G-M-OFG---,25271100,,,,,
G-M-OFS---,25270701,,,,,
G-M-OGB---,25270100,,,,,
G-M-OGF---,25270300,,,,,
G-M-OGL---,25290100,,,,,
G-M-OGR---,25270400,,,,,
G-M-OGZ---,25270200,,,,,
G-M-OHO---,25282003,,,,,C
G-M-OHTH--,25282002,,,,TRUE,C
G-M-OHTL--,25282001,,,,TRUE,C
G-M-OMC---,25290400,,,,,
G-M-OMD---,25280400,,,,,
G-M-OME---,25280201,,,,,
G-M-OMP---,25280200,,,,,
G-M-OMT---,25280300,,,,,
G-M-OMU---,25280600,,,,,
G-M-OMW---,25280500,,,,,
G-M-ORA---,25271203,,,,,
G-M-ORC---,25271204,,,,,
G-M-ORP---,25271201,,,,,
G-M-ORS---,25271202,,,,,
G-M-OS----,25280100,,,,,
G-M-OT----,25290500,,,,,
G-M-OU----,25271000,,,,,
G-M-OWA---,25290304,,,,,
G-M-OWCD--,25290308,,,,,
G-M-OWCS--,25290307,,,,,
G-M-OWCT--,25290309,,,,,
G-M-OWD---,25290303,,,,,
G-M-OWH---,25290306,,,,,
G-M-OWL---,25290305,,,,,
G-M-OWS---,25290302,,,,,
G-M-OWU---,25290301,,,,,
G-M-SE----,25280900,,,,,
G-M-SF----,25281200,,,,,
G-M-SL----,25290900,,,,,
G-M-SP----,25151203,,,,,
G-M-SS----,25281000,,,,,
G-M-SU----,25281100,,,,,
G-M-SW----,25291000,,,,,
G-O-B-----,25220100,,,,,
G-O-BA----,25220103,,,,,
G-O-BE----,25220101,,,,,
G-O-BO----,25220106,,,,,
G-O-BT----,25220105,,,,,
G-O-ED----,25218100,,,,,
G-O-EP----,25218200,,,,,
G-O-EV----,25218000,,,,,
G-O-FA----,25212300,,,,,
G-O-FE----,25212400,,,,,
G-O-FO----,25212600,,,,,
G-O-HI----,25218300,,,,,
G-O-HM----,25218600,,,,,
G-O-HN----,25218400,,,,,
G-O-HO----,25218500,,,,,
G-O-SB----,25218700,,,,,
G-O-SBM---,25218800,,,,,
G-O-SBN---,25218700,,,,,
G-O-SBW---,25219200,,,,,
G-O-SBWD--,25219100,,,,,B2
G-O-SBX---,25219100,,,,,
G-O-SM----,25218900,,,,,
G-O-SS----,25219000,,,,,
G-S-AD----,25310100,,,,,
G-S-AE----,25310200,,,,,
G-S-AH----,25310400,,,,,
G-S-AR----,25310300,,,,,
G-S-ASB---,25310600,,,,,
G-S-ASD---,25310700,,,,,
G-S-ASR---,25310500,,,,,
G-S-LCH---,25330200,,,,,
G-S-LCM---,25330100,,,,,
G-S-LRA---,25330400,,,,,
G-S-LRM---,25330300,,,,,
G-S-LRO---,25330301,,,,,
G-S-LRT---,25330401,,,,,
G-S-LRW---,25330302,,,,,
G-S-PAS---,25320200,,,,,
G-S-PAT---,25320300,,,,,
G-S-PC----,25320400,,,,,
G-S-PD----,25320700,,,,,
G-S-PE----,25320800,,,,,
G-S-PI----,25321500,,,,,
G-S-PL----,25320900,,,,,
G-S-PM----,25321000,,,,,
G-S-PN----,25321600,,,,,
G-S-PO----,25321400,,,,,
G-S-PR----,25321200,,,,,
G-S-PSA---,25321707,,,,,
G-S-PSB---,25321708,,,,,
G-S-PSC---,25321709,,,,,
G-S-PSD---,25321710,,,,,
G-S-PSE---,25321711,,,,,
G-S-PSF---,25321712,,,,,
G-S-PSG---,25321713,,,,,
G-S-PSH---,25321714,,,,,
G-S-PSI---,25321715,,,,,
G-S-PSJ---,25321716,,,,,
G-S-PSZ---,25321700,,,,,
G-S-PT----,25320600,,,,,
G-S-PU----,25321300,,,,,
G-S-PX----,25320100,,,,,
G-S-PY----,25320500,,,,,
G-T-A-----,25341200,,,,,
G-T-AS----,25341300,,,,,
G-T-B-----,25340100,,,,,
G-T-C-----,25340400,,,,,
G-T-D-----,25340900,,,,,
G-T-E-----,25341500,,,,,
G-T-F-----,25341100,,,,,
G-T-H-----,25340200,,,,,
G-T-I-----,25341400,,,,,
G-T-J-----,25151204,,,,,
G-T-K-----,25340600,,,,,
G-T-KF----,25340700,,,,,
G-T-L-----,25340800,,,,,
G-T-M-----,25342000,,,,,
G-T-N-----,25341600,,,,TRUE,
G-T-O-----,25341700,,,,,
G-T-P-----,25341800,,,,,
G-T-Q-----,25151205,,,,,
G-T-R-----,25341900,,,,,
G-T-S-----,25342100,,,,,
G-T-T-----,25341000,,,,,
G-T-UC----,25342201,,,,,
G-T-UG----,25342202,,,,,
G-T-US----,25342203,,,,,
G-T-W-----,25342400,,,,,
G-T-WP----,25342500,,,,,
G-T-X-----,25340500,,,,,
G-T-Y-----,25340300,,,,,
G-T-Z-----,25342300,,,,,
I-A-SCC---,I-S-SCC---,,,,,
I-A-SCO---,I-S-SCO---,,,,,
I-A-SCP---,I-S-SCP---,,,,,
I-A-SCS---,I-S-SCS---,,,,,
I-A-SRAI--,I-A-SRAI--,,,,,
I-A-SRAS--,I-A-SRAS--,,,,,
I-A-SRC---,I-A-SRC---,,,,,
I-A-SRD---,I-A-SRD---,,,,,
I-A-SRE---,I-A-SRE---,,,,,
I-A-SRF---,I-A-SRF---,,,,,
I-A-SRI---,I-A-SRI---,,,,,
I-A-SRMA--,I-A-SRMA--,,,,,
I-A-SRMD--,I-A-SRMD--,,,,,
I-A-SRMF--,I-A-SRMF--,,,,,
I-A-SRMG--,I-A-SRMG--,,,,,
I-A-SRMT--,I-A-SRMT--,,,,,
I-A-SRTA--,I-A-SRTA--,,,,,
I-A-SRTI--,I-A-SRTI--,,,,,
I-A-SRTT--,I-A-SRTT--,,,,,
I-A-SRU---,I-A-SRU---,,,,,
I-G-SCC---,I-G-SCC---,,,,,
I-G-SCO---,I-G-SCO---,,,,,
I-G-SCP---,I-G-SCP---,,,,,
I-G-SCS---,I-G-SCS---,,,,,
I-G-SCT---,I-G-SCT---,,,,,
I-G-SRAA--,I-S-SRAA--,35101,,,,
I-G-SRAT--,I-G-SRAT--,,,,,
I-G-SRB---,I-G-SRB---,,,,,
I-G-SRCA--,I-G-SRCA--,,,,,
I-G-SRCS--,I-G-SRCS--,,,,,
I-G-SRD---,I-G-SRD---,,,,,
I-G-SRE---,I-G-SRE---,,,,,
I-G-SRF---,I-G-SRF---,,,,,
I-G-SRH---,I-G-SRH---,,,,,
I-G-SRI---,I-G-SRI---,,,,,
I-G-SRMA--,I-G-SRMA--,,,,,
I-G-SRMF--,I-G-SRMF--,,,,,
I-G-SRMG--,I-G-SRMG--,,,,,
I-G-SRMM--,I-G-SRMM--,,,,,
I-G-SRMT--,I-G-SRMT--,,,,,
I-G-SRS---,I-G-SRS---,,,,,
I-G-SRTA--,I-G-SRTA--,,,,,
I-G-SRTI--,I-G-SRTI--,,,,,
I-G-SRTT--,I-G-SRTT--,,,,,
I-G-SRU---,I-G-SRU---,,,,,
I-P-SCD---,I-P-SCD---,,,,,
I-P-SRD---,I-P-SRD---,,,,,
I-P-SRE---,I-P-SRE---,,,,,
I-P-SRI---,I-P-SRI---,,,,,
I-P-SRM---,I-P-SRM---,,,,,
